ClientID,Completed Connections,Data Received
"('127.0.0.1', 60656)",100,6800
"('127.0.0.1', 60510)",100,6800
"('127.0.0.1', 60846)",100,6800
"('127.0.0.1', 33034)",100,6800
"('127.0.0.1', 32950)",100,6800
"('127.0.0.1', 60098)",100,6800
"('127.0.0.1', 32962)",100,6800
"('127.0.0.1', 60484)",100,6800
"('127.0.0.1', 60826)",100,6800
"('127.0.0.1', 60456)",100,6800
"('127.0.0.1', 59674)",10,680
"('127.0.0.1', 59608)",10,680
"('127.0.0.1', 60064)",100,6800
"('127.0.0.1', 32988)",100,6800
"('127.0.0.1', 60040)",100,6800
"('127.0.0.1', 59662)",10,680
"('127.0.0.1', 59842)",100,6800
"('127.0.0.1', 59614)",10,680
"('127.0.0.1', 60512)",100,6800
"('127.0.0.1', 60518)",100,6800
"('127.0.0.1', 60208)",100,6800
"('127.0.0.1', 32978)",100,6800
"('127.0.0.1', 60104)",100,6800
"('127.0.0.1', 33056)",100,6800
"('127.0.0.1', 60602)",100,6800
"('127.0.0.1', 60706)",100,6800
"('127.0.0.1', 60114)",100,6800
"('127.0.0.1', 59986)",100,6800
"('127.0.0.1', 59572)",10,680
"('127.0.0.1', 60052)",100,6800
"('127.0.0.1', 33004)",100,6800
"('127.0.0.1', 60530)",100,6800
"('127.0.0.1', 59832)",100,6800
"('127.0.0.1', 59686)",10,680
"('127.0.0.1', 60470)",100,6800
"('127.0.0.1', 60302)",100,6800
"('127.0.0.1', 33018)",100,6800
"('127.0.0.1', 32938)",100,6800
"('127.0.0.1', 59972)",100,6800
"('127.0.0.1', 59642)",10,680
"('127.0.0.1', 60102)",100,6800
"('127.0.0.1', 60242)",100,6800
"('127.0.0.1', 60820)",100,6800
"('127.0.0.1', 59756)",100,6800
"('127.0.0.1', 59694)",10,680
"('127.0.0.1', 60150)",100,6800
"('127.0.0.1', 60088)",100,6800
"('127.0.0.1', 60704)",100,6800
"('127.0.0.1', 59590)",10,680
"('127.0.0.1', 32888)",100,6800
"('127.0.0.1', 59738)",10,680
"('127.0.0.1', 60848)",100,6800
"('127.0.0.1', 32970)",100,6800
